n,b_per_K,dT_K,pressure_Torr,R_total_percent
0.5,0.0,20.0,432.49304943699366,0.0853076729218305
0.5,0.0,20.0,455.2362220409404,0.08530311390084755
0.5,0.0,20.0,479.17537201554364,0.0852987826306828
0.5,0.0,20.0,504.3733912842846,0.08529466773441463
0.5,0.0,20.0,530.8964790188716,0.08529075840344458
0.5,0.0,20.0,558.8143155549053,0.08528704436896462
0.5,0.0,20.0,588.2002454531223,0.08528351587513416
0.5,0.0,20.0,619.131470187112,0.08528016365338953
0.5,0.0,20.0,651.6892509637765,0.08527697889813002
0.5,0.0,20.0,685.9591222093377,0.0852739532436253
0.5,0.0,20.0,722.0311162817685,0.08527107874198858
0.5,0.0,20.0,760.0,0.08526834784232662
1.5,0.0,20.0,1e-06,9.0173366512156
1.5,0.0,20.0,1.052586215278033e-06,9.017302611681878
1.5,0.0,20.0,1.1079377405933336e-06,9.017266782423627
1.5,0.0,20.0,1.1661999931348297e-06,9.017229069356848
1.5,0.0,20.0,1.2275260370310584e-06,9.017189373453327
1.5,0.0,20.0,1.2920769854737643e-06,9.017147590481066
1.5,0.0,20.0,1.3600224239876796e-06,9.01710361073096
1.5,0.0,20.0,1.431540855958445e-06,9.017057318729194
1.5,0.0,20.0,1.5068201715891755e-06,9.017008592934705
1.5,0.0,20.0,1.5860581415176464e-06,9.016957305420581
1.5,0.0,20.0,1.6694629363909702e-06,9.01690332153886
1.5,0.0,20.0,1.7572536737627194e-06,9.016846499567777
1.5,0.0,20.0,1.84966099374932e-06,9.016786690340496
1.5,0.0,20.0,1.9469276649580022e-06,9.01672373685447
1.5,0.0,20.0,2.0493092222782416e-06,9.016657473860178
1.5,0.0,20.0,2.157074638212219e-06,9.016587727428638
1.5,0.0,20.0,2.2705070295080322e-06,9.016514314495861
1.5,0.0,20.0,2.3899044009520287e-06,9.016437042383906
1.5,0.0,20.0,2.5155804282744106e-06,9.016355708296576
1.5,0.0,20.0,2.6478652822248497e-06,9.016270098788826
1.5,0.0,20.0,2.787106495983155e-06,9.016179989208517
1.5,0.0,20.0,2.9336698781837292e-06,9.01608514310892
1.5,0.0,20.0,3.08794047395258e-06,9.01598531163048
1.5,0.0,20.0,3.2503235764815946e-06,9.01588023285036
1.5,0.0,20.0,3.421245791797722e-06,9.015769631098024
1.5,0.0,20.0,3.601156159524261e-06,9.015653216235119
1.5,0.0,20.0,3.7905273325788183e-06,9.015530682897621
1.5,0.0,20.0,3.989856818907076e-06,9.015401709698768
1.5,0.0,20.0,4.199668288514643e-06,9.01526595839015
1.5,0.0,20.0,4.420512949230803e-06,9.015123072979225
1.5,0.0,20.0,4.652970994818386e-06,9.014972678800914
1.5,0.0,20.0,4.897653129234339e-06,9.014814381540814
1.5,0.0,20.0,5.155202171045388e-06,9.014647766207595
1.5,0.0,20.0,5.426294742213763e-06,9.014472396051975
1.5,0.0,20.0,5.711643045689874e-06,9.014287811429678
1.5,0.0,20.0,6.011996736481803e-06,9.014093528605006
1.5,0.0,20.0,6.328144891117253e-06,9.013889038492762
1.5,0.0,20.0,6.6609180806721295e-06,9.013673805334577
1.5,0.0,20.0,7.011190552811697e-06,9.013447265306883
1.5,0.0,20.0,7.379882528577148e-06,9.013208825056696
1.5,0.0,20.0,7.7679626199515e-06,9.012957860161697
